scene,start_frame,cluster,baseline_lpips,keepsake_lpips,difference
AncientTempleEnv_5,684,AncientTempleEnv_5,0.5320589977006117,0.5279755068322023,-0.004083490868409423
AnimeCitySuburbs_5,304,AnimeCitySuburbs_5,0.7201734206949671,0.7377243739242355,0.017550953229268362
ChemicalPlantEnv_5,1824,ChemicalPlantEnv_5,0.5174716108789047,0.5248525479187568,0.007380937039852098
ClothingStore_1,228,ClothingStore_1,0.625005153628687,0.6077065759027998,-0.017298577725887276
ClothingStore_6,1444,ClothingStore_6,0.6088532145135105,0.6159946009827156,0.0071413864692051465
ContainerYard_3,1900,ContainerYard_3,0.5931823810562491,0.6072307095552484,0.014048328498999285
ContainerYard_7,608,ContainerYard_7,0.63636951589336,0.6437451123570402,0.007375596463680245
ContainerYard_9,2204,ContainerYard_9,0.5701833031450708,0.5503199186796943,-0.0198633844653765
