run_name,family,budget,content_run,row,scene,dataset_start_frame,duration_sec,section_idx,section_time_sec,context_slot,target_frame,candidate_count,traced_candidate_count,candidate_count_mismatch,selected_overlap,selected_memory_frame,selected_view_mismatch,selected_memory_corruption,selected_effective_mismatch,bank_oracle_frame,bank_oracle_view_mismatch,bank_oracle_memory_corruption,bank_oracle_effective_mismatch,full_oracle_frame,full_oracle_view_mismatch,full_oracle_memory_corruption,full_oracle_effective_mismatch,retention_gap,retrieval_gap,total_oracle_gap
baseline,Unbounded,,baseline,3,AncientTempleEnv_5,1368,60,1,2.533333333333333,0,77,73,73,0,0.9805825242718447,72,0.11343419551849365,0.3311558961868286,0.4311530590057373,64,0.21711140871047974,0.31095457077026367,0.40668201446533203,64,0.21711140871047974,0.31095457077026367,0.40668201446533203,0.0,0.024471044540405273,0.024471044540405273
baseline,Unbounded,,baseline,3,AncientTempleEnv_5,1368,60,1,2.533333333333333,19,96,73,73,0,0.9005763688760807,47,0.09322905540466309,0.21266579627990723,0.2586796283721924,25,0.09326136112213135,0.062023818492889404,0.10121715068817139,25,0.09326136112213135,0.062023818492889404,0.10121715068817139,0.0,0.157462477684021,0.157462477684021
baseline,Unbounded,,baseline,3,AncientTempleEnv_5,1368,60,1,2.533333333333333,38,115,73,73,0,0.7991266375545851,1,0.08175653219223022,0.07411849498748779,0.11397016048431396,13,0.08940070867538452,0.06541848182678223,0.09229409694671631,13,0.08940070867538452,0.06541848182678223,0.09229409694671631,0.0,0.021676063537597656,0.021676063537597656
baseline,Unbounded,,baseline,3,AncientTempleEnv_5,1368,60,1,2.533333333333333,57,134,73,73,0,0.6339285714285714,1,0.20118635892868042,0.07411849498748779,0.2094862461090088,6,0.22446078062057495,0.07701313495635986,0.17011427879333496,6,0.22446078062057495,0.07701313495635986,0.17011427879333496,0.0,0.03937196731567383,0.03937196731567383
baseline,Unbounded,,baseline,3,AncientTempleEnv_5,1368,60,2,5.066666666666666,0,153,149,149,0,0.9118110236220472,147,0.0692293643951416,0.6306310296058655,0.6794304251670837,30,0.276614248752594,0.11227989196777344,0.2721673250198364,30,0.276614248752594,0.11227989196777344,0.2721673250198364,0.0,0.4072631001472473,0.4072631001472473
baseline,Unbounded,,baseline,3,AncientTempleEnv_5,1368,60,2,5.066666666666666,19,172,149,149,0,0.6873315363881402,144,0.3083738088607788,0.6135379076004028,0.8309072256088257,27,0.2986478805541992,0.07034552097320557,0.2580360174179077,27,0.2986478805541992,0.07034552097320557,0.2580360174179077,0.0,0.572871208190918,0.572871208190918
baseline,Unbounded,,baseline,3,AncientTempleEnv_5,1368,60,2,5.066666666666666,38,191,149,149,0,0.5207547169811321,147,0.23844045400619507,0.6306310296058655,0.8214676380157471,103,0.24624550342559814,0.08552420139312744,0.24106645584106445,103,0.24624550342559814,0.08552420139312744,0.24106645584106445,0.0,0.5804011821746826,0.5804011821746826
baseline,Unbounded,,baseline,3,AncientTempleEnv_5,1368,60,2,5.066666666666666,57,210,149,149,0,0.38536060279870826,148,0.24020838737487793,0.500091552734375,0.6780489683151245,30,0.30788445472717285,0.11227989196777344,0.25688308477401733,30,0.30788445472717285,0.11227989196777344,0.25688308477401733,0.0,0.4211658835411072,0.4211658835411072
baseline,Unbounded,,baseline,3,AncientTempleEnv_5,1368,60,3,7.6,0,229,225,225,0,0.9623233908948194,224,0.08611899614334106,0.4624040126800537,0.5392446517944336,48,0.37096792459487915,0.20483267307281494,0.3139437437057495,48,0.37096792459487915,0.20483267307281494,0.3139437437057495,0.0,0.22530090808868408,0.22530090808868408
baseline,Unbounded,,baseline,3,AncientTempleEnv_5,1368,60,3,7.6,19,248,225,225,0,0.9866220735785953,213,0.06505155563354492,0.451430082321167,0.44186776876449585,27,0.3102650046348572,0.07034552097320557,0.2742851972579956,27,0.3102650046348572,0.07034552097320557,0.2742851972579956,0.0,0.16758257150650024,0.16758257150650024
