duration_sec,sections,stored_frames,memory_bank_gb,overlap_evaluations,retrieval_latency_s,denoising_latency_s,rollout_latency_s,rollout_latency_hours,rollout_latency_days
10,4,305,0.38394927978515625,33972,15.8343492,642.0,657.8343492,0.18273176366666669,0.007613823486111111
40,16,1217,1.5320205688476562,689700,321.46917,2568.0,2889.46917,0.802630325,0.03344293020833333
60,24,1825,2.2974014282226562,1588932,740.6012052,3852.0,4592.6012052,1.275722557,0.053155106541666663
600,237,18013,22.67566680908203,161477808,75264.8063088,38038.5,113303.3063088,31.473140641333334,1.3113808600555557
3600,1422,108073,136.0477066040039,5835347868,2719855.6412748,228231.0,2948086.6412748,818.9129559096667,34.12137316290278
